cnpj,razao_social,nome_fantasia,porte,mei,data_inicio,cnae_principal,cnae_principal_nome,municipio,bairro,cep
78533064000145,AGENCIA MARITIMA IMBITUBA LTDA,,Empresa de pequeno porte,N,19840910,5232000,Atividades de agenciamento marítimo,IMBITUBA,CENTRO IMBITUB,88780000
07124792000155,VANUZA GARCIA DOS SANTOS,MULTIPESCA LAGUNA,Microempresa,N,20041022,3230200,Fabricação de artefatos para pesca e esporte,LAGUNA,CABECUDA,88790000
07130219000154,LUCAS CARDOSO DA SILVA LTDA,,Microempresa,N,20041208,1011201,Frigorífico - abate de bovinos,SOMBRIO,COM COM,88960000
03182809000170,LIGA TUBARONENSE DE FUTEBOL,LTF,Demais,,19990527,9319101,Produção e promoção de eventos esportivos,TUBARAO,CENTRO,88701100
07171021000119,ESTALEIRO NAVSHIP LTDA,,Demais,,20050113,3011301,Construção de embarcações de grande porte,NAVEGANTES,MACHADOS,88371320
07175605000162,WERSAN ADMINISTRACAO DE BENS LTDA,WERSAN ADMINISTRACAO DE BENS,Demais,,20041213,6810202,Aluguel de imóveis próprios,FLORIANOPOLIS,CENTRO,88010020
03225136000198,SURF ISLAND INDUSTRIA DE PRANCHAS LTDA,WAVE GLASS,Empresa de pequeno porte,N,19990615,3230200,Fabricação de artefatos para pesca e esporte,SAO FRANCISCO DO SUL,RETA,89240000
79362075000172,PATRIMONIO UNIAO FUTEBOL CLUBE,,Demais,,19870707,9319199,Outras atividades esportivas não especificadas anteriormente,MASSARANDUBA,PATRIMONIO,89108000
79376885000188,GREMIO ESPORTIVO RECREATIVO TRESBARRENSE,,Demais,,19920703,9319199,Outras atividades esportivas não especificadas anteriormente,TRES BARRAS,VILA NOVA,89490000
94854908000459,SERRA MORENA CORRETORA LTDA,,Demais,,20011023,5231102,Atividades do Operador Portuário,IMBITUBA,CENTRO,88780000
79653119000113,INDUSTRIA E COMERCIO DE CONFECCOES LA MODA LTDA,INDUSTRIA E COMERCIO DE CONFECCOES LA MODA,Demais,,19860922,1412601,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",CRICIUMA,VILA MACARINI,88818800
03272046000158,NELCI DE OLIVEIRA,ESTACAO KIDS,Microempresa,N,19990706,9329899,Outras atividades de recreação e lazer não especificadas anteriormente,LAGES,UNIVERSITARIO,88509076
79832192000152,CLUBE DE XADREZ DE BRUSQUE,,Demais,,19880324,9319199,Outras atividades esportivas não especificadas anteriormente,BRUSQUE,PRIMEIRO DE MAIO,88353260
07258617000150,CENTRO DE TAEKWON-DO SULAMERICANO - CTS,CTS - CENTRO DE TAEKWON-DO SULAMERICANO,Demais,,20050308,9319199,Outras atividades esportivas não especificadas anteriormente,PORTO BELO,CENTRO,88210000
07297458000101,GUOLLO E GABRIEL MATERIAIS ELETRICOS LTDA,ELETROLUZ,Microempresa,N,20050330,4742300,Comércio varejista de material elétrico,MORRO DA FUMACA,DE COSTA,88830000
80630148000149,ASSOCIACAO ATLETICA JABORAZINHO,ASS JABORAZINHO,Demais,,19910214,9319199,Outras atividades esportivas não especificadas anteriormente,JABORA,JABORAZINHO,89677000
80631831000109,ASSOCIACAO VENETA DE ARROIO TRINTA,ASVEAT,Demais,,19920309,9319199,Outras atividades esportivas não especificadas anteriormente,ARROIO TRINTA,CENTRO,89590000
80634488000148,NUCLEO REGIONAL DOS TECNICOS AGRICOLAS VALE DO URUGUAI,NURTAVU,Demais,,19910808,9319199,Outras atividades esportivas não especificadas anteriormente,ITAPIRANGA,INTERIOR,89896000
80634603000184,ASSOCIACAO ESPORTIVA E RECREATIVA ESPORTE CLUBE CRUZEIRO,,Demais,,19910821,9319199,Outras atividades esportivas não especificadas anteriormente,SAO MIGUEL DO OESTE,INTERIOR,89900000
81156580000102,ASSOCIACAO DOS VETERANOS DE MASSARANDUBA,AVEM,Demais,,19920821,9319199,Outras atividades esportivas não especificadas anteriormente,MASSARANDUBA,CENTRO,89108000
81162307000190,C T G RECANTO DO VAQUEIRO,,Demais,,19920504,9493600,Atividades de organizações associativas ligadas à cultura e à arte,VIDAL RAMOS,CENTRO,88443000
