ano,uf,cnae,descricao,grupo,estab_com_vinculo,vinculos_ativos,estab_declarantes
2025,DF,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,0,0,3
2025,DF,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,6,29,11
2025,DF,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,2
2025,DF,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,11,63,23
2025,DF,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,0,0,1
2025,DF,5030101,Navegação de apoio marítimo,Portos e navegação,0,0,1
2025,DF,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,2,8,10
2025,DF,5231101,Administração da infraestrutura portuária,Portos e navegação,0,0,1
2025,DF,5231102,Atividades do operador portuário,Portos e navegação,0,0,2
2025,DF,5232000,Atividades de agenciamento marítimo,Portos e navegação,0,0,1
2025,DF,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,1,3,3
2025,DF,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,1,7,5
2025,DF,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,31,116,93
2025,DF,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,21,131,106
2025,ES,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,34,130,463
2025,ES,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,8,32,6166
2025,ES,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,19
2025,ES,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,ES,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,3
2025,ES,0321303,Criação de ostras e mexilhões em água salgada e salobra,Pesca e aquicultura,0,0,14
2025,ES,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,1,6,15
2025,ES,0321399,Cultivos e semicultivos da aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,ES,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,12,178,23
2025,ES,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,6,99,10
2025,ES,3011301,Construção de embarcações de grande porte,Indústria naval,1,3301,5
2025,ES,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,1,1,2
2025,ES,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,0,0,1
2025,ES,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,9,27,17
2025,ES,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,14,109,40
2025,ES,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,1,6,7
2025,ES,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,1,1,16
2025,ES,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,9,27,25
2025,ES,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,5,94,9
2025,ES,5030101,Navegação de apoio marítimo,Portos e navegação,11,985,21
2025,ES,5030102,Navegação de apoio portuário,Portos e navegação,15,367,24
2025,ES,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,0,0,11
2025,ES,5231101,Administração da infraestrutura portuária,Portos e navegação,3,183,4
2025,ES,5231102,Atividades do operador portuário,Portos e navegação,23,2754,44
2025,ES,5232000,Atividades de agenciamento marítimo,Portos e navegação,47,295,93
2025,ES,5239701,Serviços de praticagem,Portos e navegação,7,69,8
2025,ES,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,7,118,21
2025,ES,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,2,19,8
2025,ES,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,19,61,60
2025,ES,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,14,292,106
2025,GO,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,1
2025,GO,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,1
2025,GO,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,3
2025,GO,0321399,Cultivos e semicultivos da aquicultura em água salgada e salobra,Pesca e aquicultura,1,1,2
2025,GO,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,5,51,13
2025,GO,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,9,112,11
2025,GO,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,2,3,4
2025,GO,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,19,152,31
2025,GO,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,20,182,34
2025,GO,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,0,0,4
2025,GO,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,7,33,14
2025,GO,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,24,77,62
2025,GO,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,0,0,1
2025,GO,5231102,Atividades do operador portuário,Portos e navegação,1,235,3
2025,GO,5232000,Atividades de agenciamento marítimo,Portos e navegação,0,0,2
2025,GO,7719501,"Locação de embarcações sem tripulação, exceto para fins recreativos",Comércio e serviços náuticos,0,0,2
2025,GO,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,39,85,125
2025,GO,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,35,201,201
2025,MA,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,3,15,47243
2025,MA,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,2,41,154011
2025,MA,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,1368
2025,MA,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,1,1,90
2025,MA,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,6,55,2340
2025,MA,0321303,Criação de ostras e mexilhões em água salgada e salobra,Pesca e aquicultura,0,0,58
2025,MA,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,255
2025,MA,0321399,Cultivos e semicultivos da aquicultura em água salgada e salobra,Pesca e aquicultura,0,0,4
2025,MA,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,2,7,9
2025,MA,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos",Pesca e aquicultura,1,1,9
2025,MA,3011301,Construção de embarcações de grande porte,Indústria naval,0,0,2
2025,MA,3011302,"Construção de embarcações para uso comercial e usos especiais, exceto de grande porte",Indústria náutica,4,468,5
2025,MA,3012100,Construção de embarcações para esporte e lazer,Indústria náutica,0,0,1
2025,MA,3230200,Fabricação de artefatos para pesca e esporte,Indústria náutica,1,1,2
2025,MA,3317101,Manutenção e reparação de embarcações e estruturas flutuantes,Indústria naval,6,107,15
2025,MA,3317102,Manutenção e reparação de embarcações para esporte e lazer,Indústria náutica,0,0,5
2025,MA,4329102,Instalação de equipamentos para orientação à navegação,Indústria náutica,0,0,1
2025,MA,4763605,Comércio varejista de embarcações e outros veículos recreativos,Comércio e serviços náuticos,2,4,15
2025,MA,5011401,"Transporte marítimo de cabotagem, carga",Portos e navegação,1,4,1
2025,MA,5030101,Navegação de apoio marítimo,Portos e navegação,8,229,17
2025,MA,5030102,Navegação de apoio portuário,Portos e navegação,9,792,16
2025,MA,5099801,Transporte aquaviário para passeios turísticos,Comércio e serviços náuticos,1,1,8
2025,MA,5231101,Administração da infraestrutura portuária,Portos e navegação,0,0,4
2025,MA,5231102,Atividades do operador portuário,Portos e navegação,19,1224,36
2025,MA,5232000,Atividades de agenciamento marítimo,Portos e navegação,28,196,56
2025,MA,5239701,Serviços de praticagem,Portos e navegação,8,12,8
2025,MA,5239799,Atividades auxiliares dos transportes aquaviários,Portos e navegação,5,24,14
2025,MA,7721700,Aluguel de equipamentos recreativos e esportivos,Comércio e serviços náuticos,21,53,52
2025,MA,9319199,Outras atividades esportivas (inclui escolas e clubes náuticos),Comércio e serviços náuticos,7,160,43
2025,MG,0311601,Pesca de peixes em água salgada,Pesca e aquicultura,0,0,8
2025,MG,0311602,Pesca de crustáceos e moluscos em água salgada,Pesca e aquicultura,0,0,2
2025,MG,0311604,Atividades de apoio à pesca em água salgada,Pesca e aquicultura,0,0,5
2025,MG,0321301,Criação de peixes em água salgada e salobra,Pesca e aquicultura,0,0,1
2025,MG,0321302,Criação de camarões em água salgada e salobra,Pesca e aquicultura,0,0,2
2025,MG,0321305,Atividades de apoio à aquicultura em água salgada e salobra,Pesca e aquicultura,2,4,2
2025,MG,0321399,Cultivos e semicultivos da aquicultura em água salgada e salobra,Pesca e aquicultura,1,4,2
2025,MG,1020101,"Preservação de peixes, crustáceos e moluscos",Pesca e aquicultura,32,476,56
